"name","sku","store_view_code","product_type","description","price","special_price","special_from_date","special_to_date","cost","weight","manufacturer","meta_title","meta_keywords","meta_description","base_image","small_image","thumbnail_image","old_id","tier_price","color","news_from_date","news_to_date","gallery","product_online","minimal_price","visibility","custom_design","custom_design_from","custom_design_to","custom_layout_update","page_layout","categories","product_websites","options_container","required_options","has_options","base_image_label","small_base_image_label","thumbnail_label","created_at","updated_at","country_of_manufacture","stock_status_status","custom_layout","custom_layout_update_file","price_type","sku_type","weight_type","price_view","shipment_type","url_key","url_path","msrp","msrp_display_actual_price_type","links_purchased_separately","samples_title","links_title","links_exist","giftcard_amounts","allow_open_amount","open_amount_min","open_amount_max","giftcard_type","is_redeemable","use_config_is_redeemable","lifetime","use_config_lifetime","email_template","use_config_email_template","allow_message","use_config_allow_message","related_tgtr_position_limit","related_tgtr_position_behavior","upsell_tgtr_position_limit","upsell_tgtr_position_behavior","tax_class_id","gift_message_available","gift_wrapping_available","gift_wrapping_price","is_returnable","swatch_image","brand","bed_size","tonneau_cover_type","step_bar_width","step_bar_pattern","finish","lighter_element","cab_type","console_type","floor_liner_type","number_of_pieces","seat_configuration","seat_location","armrest","seat_cover_material","rail_type","end_cap_color","bed_liner_type","vehicle_side","deflector_location","profile","camera","keypad","trailer_tow_mirrors","trim_kit_type","rack_application","mount_type","cargo_box_dimensions","splash_guard_decal","splash_guard_location","splash_guard_type","wheel_lip_molding","mirror_use","trailer_ball_size","scoop_location","stripe_location","stripe_kit_type","stripe_width","transmission_type","remote_start_type","confirmation","push_button_start","ford_perimeter_plus","suggested_list_price","supplier_name","dealer_net_price","oversize","mandatory_installation","install_time","logo","vehicle_disclaimer","tailgate_step","product_import_status","product_import_review_status","exclude_from_import","height","width","length","residualization_code","show_labor_cost_message","year_model","inactive_year_model","make","model","year"
"CAP","1L2Z-17F000-AA","ford_ca_en","simple",,"37.800000",,,,,"0.160000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Default Category/Uncategorized,Default Category,Default Category/Default Category","ford_us,ford_ca","container2","0","0",,,,"12/10/2020 21:07:43.000000","09/29/2023 00:41:24.000000",,"In Stock",,,"0","0",,,,"cap",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JOHNSON RUBBER CO","26.460000","0","0","0.000000",,,,"Reviewed","Non Customer Item","0","0.001000","7.500000","8.250000",,"0",,"Ford_Escape_2006,Ford_Explorer_2009",,,
"Tonneau Cover - Soft Trifold by Advantage, For 8.0 Bed","11809-SKU-MISSING","ford_us_en","simple","<p>These soft folding tonneaus feature a durable vinyl covering and come completely assembled for easy installation.</p><ul><li>All components are fixed to the cover&hellip;never lose a bow, end rail or clamp&nbsp;</li><li>Hinges are contained inside the tonneau for maximum weather and corrosion resistance&nbsp;</li><li>Bows do not interfere with the cargo area; selfcontained straps allow cover to be secured in the open position&nbsp;</li><li>Lightweight and functional in all temperature extremes&nbsp;</li><li>Unique side arm rear clamp for easy installation&nbsp;</li></ul>","559.000000",,,,,"42.000000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Bed\/Cargo Area,Default Category/Bed\/Cargo Area/Bed Covers,Default Category","ford_us","container2","0","0",,,,"12/30/2020 02:30:46.000000","07/27/2023 04:33:21.000000",,"In Stock",,,"0","0",,,,"cover-tonneau-11809",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,"Advantage","8.0","Soft Folding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"391.300000","1","0","0.500000",,,,"Reviewed","Processing Complete","0","8.500000","41.250000","72.500000",,"0",,,,,
"Tonneau/Bed Cover - Hard Painted One-Piece by UnderCover, Silver Spruce, For 5.5 Bed","12647-SKU-MISSING","ford_us_en","simple","<ul><li>Lightweight and durable covers feature a painted finish. </li><li>Constructed of lightweight ABS polymer plastic compound for strength and durability. </li><li>Contoured edges wrap over the sides of the bed. A full-perimeter seal helps keep out the elements. </li><li>Battery powered LED interior light for nighttime convenience. </li><li>Code-able stainless steel lock can be coded to the ignition key. </li><li>Easy to remove with quick-release struts that allow removal without the need for tools. </li><li>Wall-mount hanger included to allow clutter free storage.</li></ul>","1399.000000",,,,,"96.000000",,,,,,,,,,"Silver",,,,"0",,"Catalog, Search",,,,,,"Default Category/Bed\/Cargo Area,Default Category/Bed\/Cargo Area/Bed Covers,Default Category","ford_us","container2","0","0",,,,"12/30/2020 02:32:24.000000","07/27/2023 04:32:44.000000",,"In Stock",,,"0","0",,,,"cover-tonneau-12647",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,"UnderCover","5.5","Hard Painted One Piece",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"979.300000","1","0","0.800000",,,,"Reviewed","Processing Complete","0","5.000000","89.000000","98.000000",,"0",,,,,
"Hood Protector - Aeroskin II, Textured","13296-SKU-MISSING","ford_us_en","simple","<p>These black textured protectors act like an extra skin for your hood.</p><ul><li>Helps provide added protection against scratches and dings</li><li>Low-profile, aerodynamic appearance</li></ul>","89.000000",,,,,"0.100000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Exterior,Default Category","ford_us","container2","0","0",,,,"12/30/2020 02:34:59.000000","07/27/2023 04:33:13.000000",,"In Stock",,,"0","0",,,,"deflector-13296",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,"Standard",,,,,,,,,,,,,,,,,,,,,,,,,"62.300000","0","0","0.300000",,,,"Reviewed","Processing Complete","0",,,,,"0",,,,,
"Running Boards Platinum Molded - Lighted CrewCab","1C3Z-16450-GAA","ford_us_en","simple","<ul><li>These original equipment running boards feature lights at both ends to help make it easier to enter and exit from the cab. </li><li>Lights activate when either a keyless entry fob is used or the vehicles door is opened. </li><li>Constructed of a corrosion-resistant, lightweight steel substructure with a durable black plastic cover.</li></ul>","500.000000",,,,,"55.000000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Exterior,Default Category/Exterior/Running Boards, Step Bars and Rock Rails,Default Category","ford_us","container2","0","0",,,,"12/30/2020 02:21:05.000000","07/27/2023 04:32:50.000000",,"In Stock",,,"0","0",,,,"platinum-molded-lighted-running-boards-crewcab",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,"Standard",,,,,,,,,,,,,,,,,,,,,,,,,"350.000000","1","0","1.000000",,,,"Reviewed","Processing Complete","0","8.000000","9.000000","87.000000",,"0",,"Ford_Super Duty_2006,Ford_Super Duty_2007,Ford_Super Duty_2008,Ford_Super Duty_2009,Ford_Super Duty_2010",,,
"CAP","1L2Z-17F000-AA","ford_us_en","simple",,"30.000000",,,,,"0.160000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Default Category/Uncategorized,Default Category,Default Category/Default Category","ford_us,ford_ca","container2","0","0",,,,"12/10/2020 21:07:43.000000","09/29/2023 00:41:24.000000",,"In Stock",,,"0","0",,,,"cap",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JOHNSON RUBBER CO","21.000000","0","0","0.000000",,,,"Reviewed","Non Customer Item","0","0.001000","7.500000","8.250000",,"0",,"Ford_Escape_2006,Ford_Explorer_2009",,,
"Trailer Hitch Receiver Cover, w/No Boundaries Logo, For 2"" Hitch Receiver","1L2Z-17F000-BB","ford_us_en","simple",,"13.710000",,,,,"0.250000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Exterior,Default Category","ford_us","container2","0","0",,,,"12/30/2020 02:19:59.000000","07/27/2023 04:33:20.000000",,"In Stock",,,"0","0",,,,"trailer-hitch-receiver-cover-w-no-boundaries-logo-for-2-hitch-receiver",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,"Standard",,,,,,,,,,,,,,,,,,,,,,,,,"9.600000","0","0","0.000000",,,,"Reviewed","Non Customer Item","0","4.000000","4.000000","4.000000",,"0",,"Ford_Expedition_2006,Ford_Expedition_2007,Ford_Expedition_2008,Ford_Expedition_2009,Ford_Expedition_2010,Ford_Expedition_2011,Ford_Expedition_2012,Ford_Expedition_2013,Ford_Expedition_2014,Ford_Expedition_2015,Ford_Expedition_2016,Ford_Expedition_2017,Ford_Explorer_2006,Ford_Explorer_2007,Ford_Explorer_2008,Ford_Explorer_2009,Ford_Explorer_2010",,,
"Side Window Deflectors","1L2Z-18246-DA","ford_us_en","simple","Deflectors keep out snow or rain so you can crack open the window and let in fresh air. Durable, smoke-colored acrylic. Self-stick adhesive for easy installation. Packaged as a 4-piece kit.","89.000000",,,,,"1.310000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category","ford_ca,ford_us","container2","0","0",,,,"11/18/2022 14:05:47.000000","07/27/2023 04:37:48.000000",,"In Stock",,,"0","0",,,,"side-window-deflectors-1l2z-18246-da",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AUTO VENTSHADE CO","62.300000","0","0",,,,,"Reviewed","Processing Complete","0","0.000000","0.000000","0.000000",,"0",,,,,
"MOULDING","1L2Z-7810177-AAA","ford_us_en","simple",,"61.330000",,,,,"1.600000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Default Category/Uncategorized,Default Category,Default Category/Default Category","ford_us","container2","0","0",,,,"12/30/2020 02:20:01.000000","07/27/2023 04:33:14.000000",,"In Stock",,,"0","0",,,,"moulding-8944",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.930000","0","0","0.000000",,,,"Reviewed","Non Customer Item","0","4.000000","3.250000","80.000000",,"0",,"Ford_Explorer_2008,Ford_Explorer_2009,Ford_Explorer_2010",,,
"Side Window Deflectors","1L2Z-18246-DA","ford_ca_en","simple","Deflectors keep out snow or rain so you can crack open the window and let in fresh air. Durable, smoke-colored acrylic. Self-stick adhesive for easy installation. Packaged as a 4-piece kit.","121.900000",,,,,"1.310000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category","ford_ca,ford_us","container2","0","0",,,,"11/18/2022 14:05:47.000000","07/27/2023 04:37:48.000000",,"In Stock",,,"0","0",,,,"side-window-deflectors-1l2z-18246-da",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AUTO VENTSHADE CO","84.110000","0","0",,,,,"Reviewed","Processing Complete","0","0.000000","0.000000","0.000000",,"0",,,,,
